,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
14183,Reseda alba,Reseda alba,White Mignonette,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41028,,,,,,,White Upright Mignonette,Flowering Plants - Dicots,GNR,GNR,,"Canada: BC, MB, ON, SK
United States: CA, CT, DE, IL, MA, ME, MI, NH, NJ, NY, OH, OR, PA, VT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158170/Reseda_alba,Reseda alba
14184,Reseda lutea,Reseda lutea,Yellow Mignonette,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41029,,,,,,,Yellow Upright Mignonette,Flowering Plants - Dicots,GNR,GNR,,"Canada: BC, MB, ON, SK
United States: AL, CA, CO, CT, IA, KS, MA, MD, ME, MI, MO, MT, NE, NH, NJ, NY, OR, PA, RI, UT, VT, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150644/Reseda_lutea,Reseda lutea
14185,Reseda luteola,Reseda luteola,Dyer'S Rocket,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41030,,,,,,,Dyer's Rocket,Flowering Plants - Dicots,GNR,GNR,,"Canada: NS
United States: CA, CO, CT, DE, IA, IL, IN, MA, MD, MO, NY, OH, OR, PA, RI",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148081/Reseda_luteola,Reseda luteola
14186,Reseda odorata,Reseda odorata,Garden Mignonette,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41031,,,,,,,Garden Mignonette,Flowering Plants - Dicots,GU,GU,,"Canada: BC
United States: CA, CT, MA, NJ, NY, PA, VT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141588/Reseda_odorata,Reseda odorata
14187,Rhagadiolus stellatus,Rhagadiolus stellatus,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4577,,,,,,,Endive-daisy,Flowering Plants - Dicots,G5?,G5,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131104/Rhagadiolus_stellatus,Rhagadiolus stellatus
14190,Rhamnus alnifolia,Rhamnus alnifolia,Alder Buckthorn,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41067,alder buckthorn,Rhamnaceae,perennial deciduous shrub,2B.2,S3,None,Alderleaf Buckthorn,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NB, NF, NS, ON, PE, QC, SK
United States: CA, CT, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138983/Rhamnus_alnifolia,Rhamnus alnifolia
14191,Apetlorhamnus alnifolia,Rhamnus alnifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41067,,,,,,,Alderleaf Buckthorn,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NB, NF, NS, ON, PE, QC, SK
United States: CA, CT, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138983/Rhamnus_alnifolia,Apetlorhamnus alnifolia
14192,Rhamnus crocea subsp. crocea,Rhamnus crocea,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41069,,,,,,,Redberry Buckthorn,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142109/Rhamnus_crocea,Rhamnus crocea * crocea
14193,Rhamnus crocea subsp. ilicifolia,Rhamnus crocea,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41069,,,,,,,Redberry Buckthorn,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142109/Rhamnus_crocea,Rhamnus crocea * ilicifolia
14194,Rhamnus crocea subsp. pilosa,Rhamnus crocea,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41069,,,,,,,Redberry Buckthorn,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142109/Rhamnus_crocea,Rhamnus crocea * pilosa
14196,Rhamnus insula,Rhamnus crocea,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41069,,,,,,,Redberry Buckthorn,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142109/Rhamnus_crocea,Rhamnus insula
14197,Rhamnus insula subsp. insula,Rhamnus crocea,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41069,,,,,,,Redberry Buckthorn,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142109/Rhamnus_crocea,Rhamnus insula * insula
14198,Rhamnus crocea,Rhamnus crocea,Spiny Redberry,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41069,,,,,,,Redberry Buckthorn,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142109/Rhamnus_crocea,Rhamnus crocea
14206,Rhamnus pirifolia,Rhamnus pirifolia,Island Redberry,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41075,island redberry,Rhamnaceae,perennial evergreen tree,4.2,S4,None,Great Redberry Buckthorn,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150587/Rhamnus_pirifolia,Rhamnus pirifolia
14207,Rhamnus catalinae,Rhamnus pirifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=41075,,,,,,,Great Redberry Buckthorn,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150587/Rhamnus_pirifolia,Rhamnus catalinae
