,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
5406,Draba lemmonii var. incrassata,Draba incrassata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23361,,,,,,,Sweetwater Mountains Draba,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134893/Draba_incrassata,Draba lemmonii * incrassata
5407,Draba lemmonii,Draba lemmonii,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23368,,,,,,,Lemmon's Whitlow-grass,Flowering Plants - Dicots,G4,G4,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154982/Draba_lemmonii,Draba lemmonii
5408,Draba lemmonii var. lemmonii,Draba lemmonii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23368,,,,,,,Lemmon's Whitlow-grass,Flowering Plants - Dicots,G4,G4,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154982/Draba_lemmonii,Draba lemmonii * lemmonii
5410,Draba lonchocarpa,Draba lonchocarpa,Spear-Fruited Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23370,spear-fruited draba,Brassicaceae,perennial herb,2B.3,S1,None,Lance-pod Draba,Flowering Plants - Dicots,G5?,G5,,"Canada: AB, BC, NT, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.961042/Draba_lonchocarpa,Draba lonchocarpa
5412,Draba lonchocarpa var. lonchocarpa,Draba lonchocarpa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23370,,,,,,,Lance-pod Draba,Flowering Plants - Dicots,G5?,G5,,"Canada: AB, BC, NT, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.961042/Draba_lonchocarpa,Draba lonchocarpa * lonchocarpa
5414,Draba nivalis var. elongata,Draba lonchocarpa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23370,,,,,,,Lance-pod Draba,Flowering Plants - Dicots,G5?,G5,,"Canada: AB, BC, NT, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.961042/Draba_lonchocarpa,Draba nivalis * elongata
5417,Draba monoensis,Draba monoensis,White Mountains Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23378,White Mountains draba,Brassicaceae,perennial herb,1B.2,S2,None,White Mountains Draba,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160922/Draba_monoensis,Draba monoensis
5418,Draba nemorosa,Draba nemorosa,,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23380,,,,,,,Wood Whitlow-grass,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NT, NU, ON, QC, SK, YT
United States: AK, CA, CO, IA, ID, MI, MN, MT, ND, NE, NV, OR, SD, UT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157411/Draba_nemorosa,Draba nemorosa
5421,Draba oligosperma,Draba oligosperma,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23389,,,,,,,Few-seed Whitlow-grass,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT, NU, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135385/Draba_oligosperma,Draba oligosperma
5422,Draba praealta,Draba praealta,Tall Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23407,tall draba,Brassicaceae,perennial herb,2B.3,S3,None,Tall Whitlow-grass,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT, YT
United States: AK, CA, ID, MT, NV, OR, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136362/Draba_praealta,Draba praealta
5423,Draba pterosperma,Draba pterosperma,Winged-Seed Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23410,winged-seed draba,Brassicaceae,perennial herb,4.3,S3,None,Winged-seed Draba,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.149656/Draba_pterosperma,Draba pterosperma
5424,Draba micrantha,Draba reptans,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23415,,,,,,,Carolina Whitlow-grass,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, ON, SK
United States: AL, AR, AZ, CA, CO, CT, GA, IA, ID, IL, IN, KS, MA, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135928/Draba_reptans,Draba micrantha
5425,Draba reptans,Draba reptans,,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23415,,,,,,,Carolina Whitlow-grass,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, ON, SK
United States: AL, AR, AZ, CA, CO, CT, GA, IA, ID, IL, IN, KS, MA, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135928/Draba_reptans,Draba reptans
5428,Draba sharsmithii,Draba sharsmithii,Mount Whitney Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23421,Mt. Whitney draba,Brassicaceae,perennial herb,1B.3,S2,None,Mt. Whitney Draba,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135432/Draba_sharsmithii,Draba sharsmithii
5429,Draba cruciata var. integrifolia,Draba sharsmithii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23421,,,,,,,Mt. Whitney Draba,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135432/Draba_sharsmithii,Draba cruciata * integrifolia
5430,Draba sierrae,Draba sierrae,Sierra Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23423,Sierra draba,Brassicaceae,perennial herb,1B.3,S3,None,Sierra Nevada Draba,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144648/Draba_sierrae,Draba sierrae
5431,Draba subumbellata,Draba subumbellata,Mound Draba,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23439,mound draba,Brassicaceae,perennial herb,4.3,S3,None,White Mountain Draba,Flowering Plants - Dicots,G3,G3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140008/Draba_subumbellata,Draba subumbellata
5432,Draba verna,Draba verna,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23442,,,,,,,Spring Draba,Flowering Plants - Dicots,GNR,GNR,,"Canada: AB, BC, NB, NS, ON, PE
United States: AL, AR, CA, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MO, MS, MT, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158246/Draba_verna,Draba verna
5433,Draba verna var. verna,Draba verna,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23442,,,,,,,Spring Draba,Flowering Plants - Dicots,GNR,GNR,,"Canada: AB, BC, NB, NS, ON, PE
United States: AL, AR, CA, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MO, MS, MT, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158246/Draba_verna,Draba verna * verna
5434,Draperia systyla,Draperia systyla,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23466,,,,,,,Violet Draperia,Flowering Plants - Dicots,G3?,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137841/Draperia_systyla,Draperia systyla
5435,Draperia systyla var. minor,Draperia systyla,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23466,,,,,,,Violet Draperia,Flowering Plants - Dicots,G3?,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137841/Draperia_systyla,Draperia systyla * minor
5436,Nama systyla,Draperia systyla,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23466,,,,,,,Violet Draperia,Flowering Plants - Dicots,G3?,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137841/Draperia_systyla,Nama systyla
5439,Drosanthemum floribundum,Drosanthemum floribundum,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23473,,,,,,,Showy Dewflower,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140789/Drosanthemum_floribundum,Drosanthemum floribundum
5440,Mesembryanthemum floribundum,Drosanthemum floribundum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23473,,,,,,,Showy Dewflower,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140789/Drosanthemum_floribundum,Mesembryanthemum floribundum
5444,Drosera capensis,Drosera capensis,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=9119,,,,,,,Cape Sundew,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.740461/Drosera_capensis,Drosera capensis
5445,Drosera capillaris,Drosera capillaris,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=9119,,,,,,,Pink Sundew,Flowering Plants - Dicots,G5,G5,,"United States: AL, DE, FL, GA, LA, MD, MS, NC, SC, TN, TX, VA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159770/Drosera_capillaris,Drosera capillaris
5446,Drosera filiformis,Drosera filiformis,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=9119,,,,,,,Threadleaf Sundew,Flowering Plants - Dicots,G4,G4,,"Canada: NS
United States: CT, DE, FL, MA, MD, NC, NJ, NY, PA, RI, SC, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140608/Drosera_filiformis,Drosera filiformis
5447,Drosera intermedia,Drosera intermedia,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=9119,,,,,,,Spoonleaf Sundew,Flowering Plants - Dicots,G5,G5,,"Canada: LB, NB, NF, NS, ON, PE, QC
United States: AL, AR, CT, DE, FL, GA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130084/Drosera_intermedia,Drosera intermedia
5451,Drosera tracyi,Drosera tracyi,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=9119,,,,,,,Tracy's Sundew,Flowering Plants - Dicots,G3G4,G3,,"United States: AL, FL, GA, LA, MS",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137057/Drosera_tracyi,Drosera tracyi
5452,Drosera anglica,Drosera anglica,English Sundew,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23475,English sundew,Droseraceae,perennial herb (carnivorous),2B.3,S2,None,English Sundew,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT
United States: AK, CA, CO, HI, ID, ME, MI, MN, MT, NJ, OR, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161038/Drosera_anglica,Drosera anglica
5453,Drosera longifolia,Drosera anglica,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23475,,,,,,,English Sundew,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT
United States: AK, CA, CO, HI, ID, ME, MI, MN, MT, NJ, OR, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161038/Drosera_anglica,Drosera longifolia
5454,Drosera rotundifolia,Drosera rotundifolia,Round-Leaved Sundew,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23487,,,,,,,Roundleaf Sundew,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT
United States: AK, AL, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, MA, MD, ME, MI, MN, MS, MT, NC, ND, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158710/Drosera_rotundifolia,Drosera rotundifolia
5456,Drymocallis cuneifolia,Drymocallis cuneifolia,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82104,,,,,,,Wedgeleaf Drymocallis,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.867698/Drymocallis_cuneifolia,Drymocallis cuneifolia
5457,Drymocallis cuneifolia var. cuneifolia,Drymocallis cuneifolia var. cuneifolia,Wedgeleaf Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82106,wedgeleaf woodbeauty,Rosaceae,perennial herb,1B.1,S1,None,Wedgeleaf Drymocallis,Flowering Plants - Dicots,G2T1,T1,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.867721/Drymocallis_cuneifolia_var_cuneifolia,Drymocallis cuneifolia * cuneifolia
5458,Potentilla peirsonii,Drymocallis cuneifolia var. cuneifolia,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82106,,,,,,,Wedgeleaf Drymocallis,Flowering Plants - Dicots,G2T1,T1,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.867721/Drymocallis_cuneifolia_var_cuneifolia,Potentilla peirsonii
5459,Drymocallis cuneifolia var. ewanii,Drymocallis cuneifolia var. ewanii,Ewan'S Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82105,Ewan's woodbeauty,Rosaceae,perennial herb,1B.3,S2,None,Ewan's Cinquefoil,Flowering Plants - Dicots,G2T2,T2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161035/Drymocallis_cuneifolia_var_ewanii,Drymocallis cuneifolia * ewanii
5460,Potentilla glandulosa subsp. ewanii,Drymocallis cuneifolia var. ewanii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82105,,,,,,,Ewan's Cinquefoil,Flowering Plants - Dicots,G2T2,T2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161035/Drymocallis_cuneifolia_var_ewanii,Potentilla glandulosa * ewanii
5461,Drymocallis glandulosa,Drymocallis glandulosa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23515,,,,,,,Douglas' Wood Beauty,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: AZ, CA, ID, MT, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959444/Drymocallis_glandulosa,Drymocallis glandulosa
5462,Potentilla glandulosa,Drymocallis glandulosa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23515,,,,,,,Douglas' Wood Beauty,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: AZ, CA, ID, MT, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959444/Drymocallis_glandulosa,Potentilla glandulosa
5463,Drymocallis glandulosa var. glandulosa,Drymocallis glandulosa var. glandulosa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82059,,,,,,,Douglas' Wood Beauty,Flowering Plants - Dicots,G5T5,T5,,"Canada: BC
United States: AZ, CA, ID, MT, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959714/Drymocallis_glandulosa_var_glandulosa,Drymocallis glandulosa * glandulosa
5464,Potentilla glandulosa subsp. glandulosa,Drymocallis glandulosa var. glandulosa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82059,,,,,,,Douglas' Wood Beauty,Flowering Plants - Dicots,G5T5,T5,,"Canada: BC
United States: AZ, CA, ID, MT, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959714/Drymocallis_glandulosa_var_glandulosa,Potentilla glandulosa * glandulosa
5465,Drymocallis glandulosa var. reflexa,Drymocallis glandulosa var. reflexa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82163,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,G5T3T5,T4,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151023/Drymocallis_glandulosa_var_reflexa,Drymocallis glandulosa * reflexa
5466,Potentilla glandulosa subsp. reflexa,Drymocallis glandulosa var. reflexa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82163,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,G5T3T5,T4,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151023/Drymocallis_glandulosa_var_reflexa,Potentilla glandulosa * reflexa
5467,Drymocallis glandulosa var. viscida,Drymocallis glandulosa var. viscida,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82058,,,,,,,Parish's Drymocallis,Flowering Plants - Dicots,G5TNR,TNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959452/Drymocallis_glandulosa_var_viscida,Drymocallis glandulosa * viscida
5468,Drymocallis glandulosa var. wrangelliana,Drymocallis glandulosa var. wrangelliana,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82064,,,,,,,Coast Drymocallis,Flowering Plants - Dicots,G5TNR,TNR,,"United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959449/Drymocallis_glandulosa_var_wrangelliana,Drymocallis glandulosa * wrangelliana
5469,Drymocallis convallaria,Drymocallis hansenii,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82056,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,G3G4,G3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146967/Drymocallis_hansenii,Drymocallis convallaria
5470,Drymocallis hansenii,Drymocallis hansenii,Yosemite Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82056,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,G3G4,G3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146967/Drymocallis_hansenii,Drymocallis hansenii
5471,Potentilla glandulosa subsp. hansenii,Drymocallis hansenii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82056,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,G3G4,G3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146967/Drymocallis_hansenii,Potentilla glandulosa * hansenii
5472,Drymocallis ashlandica,Drymocallis lactea,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82053,,,,,,,Wood Beauty,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, ID, MT, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959677/Drymocallis_lactea,Drymocallis ashlandica
5473,Drymocallis lactea,Drymocallis lactea,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82053,,,,,,,Wood Beauty,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, ID, MT, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959677/Drymocallis_lactea,Drymocallis lactea
5475,Potentilla glandulosa subsp. ashlandica,Drymocallis lactea var. austiniae,,Misapplied name,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82054,,,,,,,Austin’s Drymocallis,Flowering Plants - Dicots,GNRTNR,TNR,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959682/Drymocallis_lactea_var_austiniae,Potentilla glandulosa * ashlandica
5476,Drymocallis lactea var. austiniae,Drymocallis lactea var. austiniae,Austin'S Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82054,,,,,,,Austin’s Drymocallis,Flowering Plants - Dicots,GNRTNR,TNR,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959682/Drymocallis_lactea_var_austiniae,Drymocallis lactea * austiniae
5477,Drymocallis lactea var. lactea,Drymocallis lactea var. lactea,Sierran Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82055,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,GNRT4T5,T4,,"United States: CA, ID, MT, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135722/Drymocallis_lactea_var_lactea,Drymocallis lactea * lactea
5478,Potentilla glandulosa subsp. nevadensis,Drymocallis lactea var. lactea,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82055,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,GNRT4T5,T4,,"United States: CA, ID, MT, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135722/Drymocallis_lactea_var_lactea,Potentilla glandulosa * nevadensis
5479,Drymocallis pseudorupestris,Drymocallis pseudorupestris,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82061,,,,,,,False Rock-loving Wood Beauty,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: CA, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959255/Drymocallis_pseudorupestris,Drymocallis pseudorupestris
5480,Potentilla glandulosa subsp. pseudorupestris,Drymocallis pseudorupestris,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82061,,,,,,,False Rock-loving Wood Beauty,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: CA, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959255/Drymocallis_pseudorupestris,Potentilla glandulosa * pseudorupestris
5481,Drymocallis pseudorupestris var. crumiana,Drymocallis pseudorupestris var. crumiana,Crum'S Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82161,,,,,,,Crum's Drymocallis,Flowering Plants - Dicots,G5TNR,TNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.959304/Drymocallis_pseudorupestris_var_crumiana,Drymocallis pseudorupestris * crumiana
5482,Drymocallis pseudorupestris var. saxicola,Drymocallis pseudorupestris var. saxicola,Cliff Woodbeauty,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=82159,,,,,,,Sticky Cinquefoil,Flowering Plants - Dicots,G5T5?,T5,,"Canada: AB, BC
United States: CA, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143158/Drymocallis_pseudorupestris_var_saxicola,Drymocallis pseudorupestris * saxicola
5483,Drymocallis rhomboidea,Drymocallis rhomboidea,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81331,,,,,,,Globose Cinquefoil,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150073/Drymocallis_rhomboidea,Drymocallis rhomboidea
5484,Potentilla glandulosa subsp. globosa,Drymocallis rhomboidea,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81331,,,,,,,Globose Cinquefoil,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150073/Drymocallis_rhomboidea,Potentilla glandulosa * globosa
5485,Potentilla rhomboidea,Drymocallis rhomboidea,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81331,,,,,,,Globose Cinquefoil,Flowering Plants - Dicots,G4,G4,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150073/Drymocallis_rhomboidea,Potentilla rhomboidea
5486,Dryopteris arguta,Dryopteris arguta,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23524,,,,,,,Coastal Woodfern,Ferns and relatives - Leptosporangiate Ferns,G5,G5,,"Canada: BC
United States: AZ, CA, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155359/Dryopteris_arguta,Dryopteris arguta
5487,Dryopteris expansa,Dryopteris expansa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23542,,,,,,,Spreading Woodfern,Ferns and relatives - Leptosporangiate Ferns,G5,G5,,"Canada: AB, BC, LB, NF, NT, ON, QC, YT
United States: AK, CA, CO, ID, MI, MN, MT, OR, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153921/Dryopteris_expansa,Dryopteris expansa
5488,Dryopteris assimilis,Dryopteris expansa,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23542,,,,,,,Spreading Woodfern,Ferns and relatives - Leptosporangiate Ferns,G5,G5,,"Canada: AB, BC, LB, NF, NT, ON, QC, YT
United States: AK, CA, CO, ID, MI, MN, MT, OR, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153921/Dryopteris_expansa,Dryopteris assimilis
5489,Dryopteris filix-mas,Dryopteris filix-mas,Male Fern,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=23545,male fern,Dryopteridaceae,perennial rhizomatous herb,2B.3,S2,None,Male Fern,Ferns and relatives - Leptosporangiate Ferns,G5,G5,,"Canada: AB, BC, LB, NB, NF, NS, ON, PE, QC, SK
United States: AZ, CA, CO, ID, IL, ME, MI, MN, MT, NE, NH, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160352/Dryopteris_filix-mas,Dryopteris filix-mas
