accepted,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName,genbank,seqs
1,Carex nigricans,Carex nigricans,Black Alpine Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17663,NA,NA,NA,NA,NA,NA,Black Alpine Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152663/Carex_nigricans,Carex nigricans,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+nigricans%22%5BOrganism%5D+OR+%22Carex+nigricans%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,12
1,Carex nudata,Carex nudata,Torrent Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17676,NA,NA,NA,NA,NA,NA,Torrent Sedge,Flowering Plants - Monocots,G5,G5,NA,"United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129609/Carex_nudata,Carex nudata,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+nudata%22%5BOrganism%5D+OR+%22Carex+nudata%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,11
1,Carex obispoensis,Carex obispoensis,San Luis Obispo Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17679,San Luis Obispo sedge,Cyperaceae,perennial herb,1B.2,S3?,None,San Luis Obispo Sedge,Flowering Plants - Monocots,G3?,G3,NA,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155758/Carex_obispoensis,Carex obispoensis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+obispoensis%22%5BOrganism%5D+OR+%22Carex+obispoensis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,8
1,Carex obnupta,Carex obnupta,Slough Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17680,NA,NA,NA,NA,NA,NA,Slough Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144548/Carex_obnupta,Carex obnupta,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+obnupta%22%5BOrganism%5D+OR+%22Carex+obnupta%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,19
1,Carex occidentalis,Carex occidentalis,Western Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17683,western sedge,Cyperaceae,perennial rhizomatous herb,2B.3,S3,None,Western Sedge,Flowering Plants - Monocots,G4,G4,NA,"United States: AZ, CA, CO, ID, MT, NM, NV, SD, UT, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131260/Carex_occidentalis,Carex occidentalis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+occidentalis%22%5BOrganism%5D+OR+%22Carex+occidentalis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,14
1,Carex pachystachya,Carex pachystachya,Starry Broomsedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17697,NA,NA,NA,NA,NA,NA,Thick-head Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152896/Carex_pachystachya,Carex pachystachya,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+pachystachya%22%5BOrganism%5D+OR+%22Carex+pachystachya%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,42
1,Carex pansa,Carex pansa,Sand Dune Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17706,NA,NA,NA,NA,NA,NA,Sand-dune Sedge,Flowering Plants - Monocots,G4,G4,NA,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143863/Carex_pansa,Carex pansa,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+pansa%22%5BOrganism%5D+OR+%22Carex+pansa%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,13
1,Carex pellita,Carex pellita,Woolly Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=74511,NA,NA,NA,NA,NA,NA,Woolly Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, MB, NB, NF, NS, ON, QC, SK, YT
United States: AK, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147074/Carex_pellita,Carex pellita,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+pellita%22%5BOrganism%5D+OR+%22Carex+pellita%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,10
1,Carex pendula,Carex pendula,Pendulous Sedge,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=80276,NA,NA,NA,NA,NA,NA,Pendulous Sedge,Flowering Plants - Monocots,GNR,GNR,NA,"Canada: BC
United States: VA, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.883887/Carex_pendula,Carex pendula,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+pendula%22%5BOrganism%5D+OR+%22Carex+pendula%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,337
1,Carex petasata,Carex petasata,Liddon'S Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17723,Liddon's sedge,Cyperaceae,perennial herb,2B.3,S3,None,Liddon's Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, SK, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136458/Carex_petasata,Carex petasata,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+petasata%22%5BOrganism%5D+OR+%22Carex+petasata%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,11
1,Carex phaeocephala,Carex phaeocephala,Dunhead Or Alpine Hare Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17726,NA,NA,NA,NA,NA,NA,Mountain Hare Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, NT, YT
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130282/Carex_phaeocephala,Carex phaeocephala,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+phaeocephala%22%5BOrganism%5D+OR+%22Carex+phaeocephala%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,14
1,Carex praeceptorum,Carex praeceptorum,Teacher Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17744,NA,NA,NA,NA,NA,NA,Teacher's Sedge,Flowering Plants - Monocots,G4G5,G4,NA,"Canada: BC
United States: CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146362/Carex_praeceptorum,Carex praeceptorum,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+praeceptorum%22%5BOrganism%5D+OR+%22Carex+praeceptorum%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,42
1,Carex praegracilis,Carex praegracilis,Black Creeper Or Freeway Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17745,NA,NA,NA,NA,NA,NA,Clustered Field Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, MB, NT, ON, QC, SK, YT
United States: AK, AZ, CA, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, VT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132534/Carex_praegracilis,Carex praegracilis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+praegracilis%22%5BOrganism%5D+OR+%22Carex+praegracilis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,18
1,Carex praticola,Carex praticola,Northern Meadow Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17749,northern meadow sedge,Cyperaceae,perennial herb,2B.2,S2,None,Northern Meadow Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT
United States: AK, CA, CO, ID, IL, ME, MI, MN, MT, ND, NV, OR, SD, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.962578/Carex_praticola,Carex praticola,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+praticola%22%5BOrganism%5D+OR+%22Carex+praticola%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,10
1,Carex preslii,Carex preslii,Presl'S Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17750,NA,NA,NA,NA,NA,NA,Presl's Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC
United States: AK, CA, ID, MT, NV, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160388/Carex_preslii,Carex preslii,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+preslii%22%5BOrganism%5D+OR+%22Carex+preslii%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,10
1,Carex proposita,Carex proposita,Potato Chip Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17752,NA,NA,NA,NA,NA,NA,Smoky Mountain Sedge,Flowering Plants - Monocots,G4,G4,NA,"United States: CA, ID, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137287/Carex_proposita,Carex proposita,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+proposita%22%5BOrganism%5D+OR+%22Carex+proposita%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,3
1,Carex raynoldsii,Carex raynoldsii,Raynold'S Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17770,NA,NA,NA,NA,NA,NA,Raynolds' Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, NT, SK
United States: AK, CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145621/Carex_raynoldsii,Carex raynoldsii,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+raynoldsii%22%5BOrganism%5D+OR+%22Carex+raynoldsii%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,16
