,Scientific.Name,seqs,Species.Group,CRPR,Literature.Count,area
3862,Lycium californicum,742,Flowering Plants - Dicots,4.2,384,25796.14318
3863,Lycium cooperi,14,Flowering Plants - Dicots,native,187,28325.17682
3864,Lycium fremontii,18,Flowering Plants - Dicots,native,175,27060.66
3865,Lycium pallidum var. oligospermum,1,Flowering Plants - Dicots,native,6,6828.390842
3866,Lycium parishii,37,Flowering Plants - Dicots,2B.3,113,6575.487477
3867,Lycium torreyi,7,Flowering Plants - Dicots,4.2,125,14668.39514
3868,Lycium verrucosum,0,Flowering Plants - Dicots,native,15,36.1290521
3869,Lycopodiella inundata,22,Ferns and relatives - Clubmosses,2B.2,3740,818142.3842
3870,Lycopodium clavatum,105,Ferns and relatives - Clubmosses,4.1,13300,2128940.522
3871,Lycopus americanus,24,Flowering Plants - Dicots,native,1660,264031.1125
3872,Lycopus asper,12,Flowering Plants - Dicots,native,3138,42993.57197
3873,Lycopus uniflorus,37,Flowering Plants - Dicots,4.3,1060,228877.5449
3874,Lyrocarpa coulteri,10,Flowering Plants - Dicots,4.3,46,18209.04224
3875,Lysichiton americanus,154,Flowering Plants - Monocots,native,1198,348753.7396
3876,Lysimachia nummularia,37,Flowering Plants - Dicots,weed,7440,193434.9449
3877,Lysimachia thyrsiflora,35,Flowering Plants - Dicots,2B.3,2650,1630973.798
3878,Lythrum californicum,3,Flowering Plants - Dicots,native,213,76123.91271
3879,Lythrum hyssopifolia,12,Flowering Plants - Dicots,weed,2180,128149.7478
3880,Lythrum portula,12,Flowering Plants - Dicots,weed,2620,89021.98437
3881,Lythrum salicaria,84,Flowering Plants - Dicots,weed,24500,3902551.818
3882,Lythrum tribracteatum,1,Flowering Plants - Dicots,weed,427,20412.91444
3883,Machaeranthera tanacetifolia,24,Flowering Plants - Dicots,native,334,126451.6823
3884,Maclura pomifera,41,Flowering Plants - Dicots,weed,6340,141481.368
3885,Madia anomala,1,Flowering Plants - Dicots,native,15,1770.323552
3886,Madia citrigracilis,1,Flowering Plants - Dicots,native,19,3034.840374
3887,Madia citriodora,1,Flowering Plants - Dicots,native,26,7840.0043
3888,Madia elegans,4,Flowering Plants - Dicots,native,358,86745.85402
3889,Madia exigua,2,Flowering Plants - Dicots,native,134,14162.58841
3890,Madia glomerata,3,Flowering Plants - Dicots,native,367,51592.28636
3891,Madia gracilis,6,Flowering Plants - Dicots,native,305,21749.68935
3892,Madia radiata,1,Flowering Plants - Dicots,1B.1,19,2529.033645
3893,Madia sativa,35,Flowering Plants - Dicots,native,1179,51845.18972
3894,Madia subspicata,1,Flowering Plants - Dicots,native,12,3793.550468
3895,Maianthemum dilatatum,216,Flowering Plants - Monocots,native,995,168180.7374
3896,Maianthemum racemosum,122,Flowering Plants - Monocots,native,3693,993404.4158
3897,Maianthemum stellatum,135,Flowering Plants - Monocots,native,1893,681321.664
3898,Malacothamnus abbottii,1,Flowering Plants - Dicots,1B.1,9,758.7100935
3899,Malacothamnus aboriginum,1,Flowering Plants - Dicots,1B.2,14,4299.357197
3900,Malacothamnus clementinus,1,Flowering Plants - Dicots,1B.1,40,505.806729
3901,Malacothamnus davidsonii,1,Flowering Plants - Dicots,1B.2,18,2781.93701
3902,Malacothamnus densiflorus,1,Flowering Plants - Dicots,native,14,9610.327851
3903,Malacothamnus fasciculatus,0,Flowering Plants - Dicots,native,229,36165.18112
3904,Malacothamnus fasciculatus var. catalinensis,1,Flowering Plants - Dicots,4.2,8,252.9033645
3905,Malacothamnus fasciculatus var. nesioticus,1,Flowering Plants - Dicots,1B.1,27,505.806729
3906,Malacothamnus fremontii,1,Flowering Plants - Dicots,native,35,11886.45813
3907,Malacothamnus hallii,1,Flowering Plants - Dicots,1B.2,31,758.7100935
3908,Malacothamnus jonesii,1,Flowering Plants - Dicots,4.3,15,2781.93701
3909,Malacothamnus marrubioides,1,Flowering Plants - Dicots,native,5,2781.93701
3910,Malacothamnus orbiculatus,1,Flowering Plants - Dicots,native,8,11127.74804
3911,Malacothamnus palmeri,0,Flowering Plants - Dicots,native,15,1011.613458
3912,Malacothamnus palmeri var. involucratus,0,Flowering Plants - Dicots,1B.2,7,361.290521
3913,Malacothamnus palmeri var. palmeri,1,Flowering Plants - Dicots,1B.2,7,1517.420187
3914,Malacothrix californica,2,Flowering Plants - Dicots,native,69,23772.91626
3915,Malacothrix clevelandii,2,Flowering Plants - Dicots,native,76,26807.75664
3916,Malacothrix coulteri,2,Flowering Plants - Dicots,native,74,27819.3701
3917,Malacothrix floccifera,2,Flowering Plants - Dicots,native,32,30601.3071
3918,Malacothrix foliosa,8,Flowering Plants - Dicots,native,36,252.9033645
3919,Malacothrix glabrata,4,Flowering Plants - Dicots,native,241,102425.8626
3920,Malacothrix incana,5,Flowering Plants - Dicots,4.3,59,3540.647103
3921,Malacothrix indecora,2,Flowering Plants - Dicots,1B.1,32,1011.613458
3922,Malacothrix junakii,2,Flowering Plants - Dicots,1B.1,8,252.9033645
3923,Malacothrix phaeocarpa,2,Flowering Plants - Dicots,4.3,5,3540.647103
3924,Malacothrix saxatilis,16,Flowering Plants - Dicots,native,100,18461.94561
3925,Malacothrix saxatilis var. arachnoidea,2,Flowering Plants - Dicots,1B.2,6,758.7100935
3926,Malacothrix saxatilis var. commutata,2,Flowering Plants - Dicots,native,3,7587.100935
3927,Malacothrix saxatilis var. implicata,2,Flowering Plants - Dicots,native,16,3540.647103
3928,Malacothrix saxatilis var. saxatilis,4,Flowering Plants - Dicots,4.2,5,4046.453832
3929,Malacothrix saxatilis var. tenuifolia,2,Flowering Plants - Dicots,native,13,17197.42879
3930,Malacothrix similis,2,Flowering Plants - Dicots,native,14,5816.777384
3931,Malacothrix sonchoides,2,Flowering Plants - Dicots,native,79,16438.71869
3932,Malacothrix squalida,2,Flowering Plants - Dicots,1B.1,22,505.806729
3933,Malacothrix stebbinsii,2,Flowering Plants - Dicots,native,12,7081.294206
3934,Malacothrix torreyi,2,Flowering Plants - Dicots,native,40,12898.07159
3935,Malaxis monophyllos var. brachypoda,3,Flowering Plants - Monocots,2B.1,236,1517.420187
3936,Malephora crocea,0,Flowering Plants - Dicots,weed,257,10874.84468
3937,Malosma laurina,15,Flowering Plants - Dicots,native,1364,34141.95421
3938,Malperia tenuis,3,Flowering Plants - Dicots,2B.3,22,11633.55477
3939,Malus fusca,35,Flowering Plants - Dicots,native,792,24748.40069
3940,Malus pumila,152,Flowering Plants - Dicots,weed,170188,13620.65264
3941,Malva neglecta,50,Flowering Plants - Dicots,weed,8520,152862.0194
3942,Malva nicaeensis,28,Flowering Plants - Dicots,weed,790,63659.3898
3943,Malva parviflora,71,Flowering Plants - Dicots,weed,9150,145383.3057
3944,Malva sylvestris,100,Flowering Plants - Dicots,weed,13084,132702.0084
3945,Malvella leprosa,4,Flowering Plants - Dicots,native,338,81434.88337
3946,Mammillaria dioica,4,Flowering Plants - Dicots,native,233,29842.59701
3947,Mammillaria grahamii var. grahamii,1,Flowering Plants - Dicots,2B.2,155,1264.516823
3948,Mammillaria tetrancistra,4,Flowering Plants - Dicots,native,111,36923.89122
3949,Marah watsonii,1,Flowering Plants - Dicots,native,17,8345.811029
3950,Marina orcuttii var. orcuttii,0,Flowering Plants - Dicots,1B.3,3,1083.871563
3951,Marina parryi,3,Flowering Plants - Dicots,native,147,67525.19832
3952,Marrubium vulgare,61,Flowering Plants - Dicots,weed,10800,1565977.633
3953,Marsilea oligospora,58,Ferns and relatives - Leptosporangiate Ferns,native,58,3034.840374
3954,Matelea parvifolia,6,Flowering Plants - Dicots,2B.3,45,10874.84467
